"Dependency","BugCategory","Rho","Pvalue"
"@testing-library/dom","Type Error",0.26751421048956,0.160628233596328
"@testing-library/dom","UI Bug",0.114572788101327,0.553979341124824
"@testing-library/dom","Error Handling",-0.051434449987364,0.791029093662479
"@testing-library/dom","Total_Bugs",0.25025866535631,0.190414485109519
"@vitest/coverage-v8","API Misuse",NA,NA
"@vitest/coverage-v8","Async / Event",NA,NA
"@vitest/coverage-v8","Logic Error",NA,NA
"@vitest/coverage-v8","Missing Case",NA,NA
"@vitest/coverage-v8","Missing Feature",NA,NA
"@vitest/coverage-v8","Performance Issue",NA,NA
"@vitest/coverage-v8","Runtime Exception",NA,NA
"@vitest/coverage-v8","Test Fault",NA,NA
"@vitest/coverage-v8","Tooling / Config",NA,NA
"@vitest/coverage-v8","Type Error",NA,NA
"@vitest/coverage-v8","UI Bug",NA,NA
"@vitest/coverage-v8","Error Handling",NA,NA
"@vitest/coverage-v8","Total_Bugs",NA,NA
"eslint-config-prettier","API Misuse",-0.0500269614470928,0.796627396032396
"eslint-config-prettier","Async / Event",-0.0250744149934325,0.89727037920848
"eslint-config-prettier","Logic Error",-0.073758616493498,0.70376051312646
"eslint-config-prettier","Missing Case",0.026218455473338,0.892609470564081
"eslint-config-prettier","Missing Feature",0.117050362671693,0.545382824451111
"eslint-config-prettier","Performance Issue",0.241746889207614,0.206437641209505
"eslint-config-prettier","Runtime Exception",0.130585725019802,0.499553199850571
"eslint-config-prettier","Test Fault",-0.0730296743340221,0.706559318826171
"eslint-config-prettier","Tooling / Config",0.243060026999989,0.203907351684356
"eslint-config-prettier","Type Error",-0.264646705605565,0.165332379249195
"eslint-config-prettier","UI Bug",-0.145502930079078,0.451382418806074
"eslint-config-prettier","Error Handling",0.285773803324704,0.132894120420259
"eslint-config-prettier","Total_Bugs",0.168540194320077,0.382135021404083
"eslint-plugin-prettier","API Misuse",-0.0936073484861039,0.629109776099524
"eslint-plugin-prettier","Async / Event",-0.307097611663508,0.105133766789069
"eslint-plugin-prettier","Logic Error",-0.0501863818174171,0.795992798166206
"eslint-plugin-prettier","Missing Case",-0.24975159126384,0.191344091736998
"eslint-plugin-prettier","Missing Feature",-0.247777239416486,0.194993609360343
"eslint-plugin-prettier","Performance Issue",0.164487923739942,0.393847548910945
"eslint-plugin-prettier","Runtime Exception",0.0888523316638638,0.646704157267338
"eslint-plugin-prettier","Test Fault",-0.248451997499977,0.19374096954425
"eslint-plugin-prettier","Tooling / Config",0.314224661592346,0.0969001947704344
"eslint-plugin-prettier","Type Error",-0.142380357161722,0.461255493139883
"eslint-plugin-prettier","UI Bug",-0.0330007347012591,0.865054794493482
"eslint-plugin-prettier","Error Handling",-0.0740740740740741,0.70255046974996
"eslint-plugin-prettier","Total_Bugs",0.0737209780774486,0.703904935221513
"eslint-plugin-react-hooks","API Misuse",0.238273250691901,0.213234397728825
"eslint-plugin-react-hooks","Async / Event",-0.0170609784257505,0.930003062670097
"eslint-plugin-react-hooks","Logic Error",-0.0501863818174171,0.795992798166206
"eslint-plugin-react-hooks","Missing Case",0.0178393993759886,0.926817673307955
"eslint-plugin-react-hooks","Missing Feature",0.115039432586226,0.552355440186826
"eslint-plugin-react-hooks","Performance Issue",-0.153522062157279,0.426551928438762
"eslint-plugin-react-hooks","Runtime Exception",-0.197449625919697,0.304571574748599
"eslint-plugin-react-hooks","Test Fault",-0.0331269329999969,0.864543445817072
"eslint-plugin-react-hooks","Tooling / Config",0.0165381400838077,0.932143175128716
"eslint-plugin-react-hooks","Type Error",-0.0921284663987611,0.634561224730006
"eslint-plugin-react-hooks","UI Bug",0.0660014694025183,0.733731772505759
"eslint-plugin-react-hooks","Error Handling",0.462962962962963,0.0114377497766855
"eslint-plugin-react-hooks","Total_Bugs",0.221162934232346,0.248927944770464
"happy-dom","API Misuse",NA,NA
"happy-dom","Async / Event",NA,NA
"happy-dom","Logic Error",NA,NA
"happy-dom","Missing Case",NA,NA
"happy-dom","Missing Feature",NA,NA
"happy-dom","Performance Issue",NA,NA
"happy-dom","Runtime Exception",NA,NA
"happy-dom","Test Fault",NA,NA
"happy-dom","Tooling / Config",NA,NA
"happy-dom","Type Error",NA,NA
"happy-dom","UI Bug",NA,NA
"happy-dom","Error Handling",NA,NA
"happy-dom","Total_Bugs",NA,NA
"husky","API Misuse",-0.231374696692804,0.227180330703812
"husky","Async / Event",-0.112834867470446,0.560046535552757
"husky","Logic Error",0.0553189623701235,0.775631851210265
"husky","Missing Case",-0.052436910946676,0.78704796685728
"husky","Missing Feature",0.0650279792620515,0.737521271229144
"husky","Performance Issue",0.241746889207614,0.206437641209505
