"","Async / Event","Error Handling","Missing Case","Missing Feature","Runtime Exception","Tooling / Config","Type Error","Logic Error","API Misuse","Test Fault","UI Bug"
"Size..LOC.",0.229477055575285,0.0379511392594645,0.665920702242547,0.37397328555531,1,0.667944065097716,0.340728927620189,0.0254878656127304,0.272778203569614,0.501651012300707,0.71164239745208
"Stars",0.324971957202928,0.389420111337875,0.582997787333182,0.853731920249696,0.74762901007937,0.621598060347382,0.191569790746088,0.673769413592366,0.435026177108446,0.72408140632469,0.613780485806922
"Num.of.Files",0.541058403975708,0.138375981401366,0.193117218139883,0.300576576259586,0.628444008698198,0.55890003397577,0.394352519683427,0.247963241810493,0.769008034472546,0.959149359159398,0.569111540375767
"Commits",0.609013484289322,0.389420111337875,0.907976783135249,0.884856543846696,1,0.898449380730986,0.440276442195485,0.0454879074108763,0.691822127106078,0.0888759109946575,0.650456407599388
"Commits.in.12.Months..Oct.8.",0.328381942155186,0.0231420907029571,0.807035283258911,0.573539571969225,0.326080433246877,0.515853128053228,0.0959009358812812,0.939197335935964,0.458681494060179,0.324280645101205,0.873687589776799
"Issues",0.169183827254755,0.61133482503596,0.0998158540378107,0.952775367948013,0.326080433246877,0.166071383740738,0.694978061395242,0.115158668847086,0.853269884978554,0.867722089166679,0.259403687592204
"Issues..closed.",0.169183827254755,0.61133482503596,0.210638311815717,0.812549040871893,0.248467630487868,0.28755241313304,0.424677997749527,0.0739845873122316,0.923826740393393,0.570680125447033,0.334644160557046
"Project_Age_Years",0.416198984226925,0.309879272390396,0.979512335041771,0.404280034575646,0.130574811412453,0.272320049864942,0.792472540087943,0.0929724742384779,0.994915009377141,0.620308829974193,0.369281138920339
"Num.of.Forks",0.104905913478079,0.986988795069946,0.427678234886117,0.843399204650142,0.51722940517193,0.663255681284849,0.193996093246902,0.239590059340868,0.333278811059415,0.327623232936696,0.622874282588815
"Pull.Requests",0.670437721421479,0.781271804759893,0.699232531728227,0.756678428802607,0.51722940517193,0.868200964952741,0.141123135025431,0.0472632440521124,0.949180045811196,0.110565672462837,0.964511831448096
